,매장명,주소,영업 시간
108,서울성균관대점,"서울특별시 종로구 성균관로 3, 지상1층",08:00~20:30
109,서울스퀘어점,서울 중구 한강대로 416,06:30~21:00
110,서초법원점,"서울시 서초구 서초동 1554-5 아스트라 101호, 102호",07:00~21:00
111,서초점,"서울 서초구 서초대로 254 B105호 (서초동, 오퓨런스)",07:00~18:00
112,서현CGV점,경기도 분당구 서현동 256 ,06:30~23:00
113,선릉공원점,서울 강남구 삼성동 142-46,06:30~23:00
114,선릉상록점,서울시 강남구 역삼동 699-21 102호,07:30~18:00
115,선릉역사거리점,서울 강남구 역삼동 705-19,06:30~23:00
116,선릉역점,서울 강남구 테헤란로51길 7 (역삼동702-30),07:00~23:00
117,선릉위워크점,서울특별시 강남구 대치동 889-41,07:00~19:00
118,선정릉점,"서울 강남구 선릉로 577 (역삼동 682-20) POS TOWER, 1층",06:30~23:00
119,성수낙낙점,서울특별시 성동구 아차산로17길 48,07:00~20:00
120,세관사거리점,서울 강남구 언주로 702 (논현동115-13),06:30~23:00
121,센텀시티점,"부산광역시 해운대구 센텀동로 9, 1층 126호",07:30~20:30
122,송도학원가점,"인천광역시 연수구 신송로 161, 송도하이츠 1층 110호",07:30~22:00
123,송리단길점,"서울특별시 송파구 백제고분로 423, 1층 (송파동, 영동빌딩)",08:00~21:30
124,수내역점,주소 경기 성남시 분당구 수내로46번길 26,07:00~19:00
125,수서역점,"서울특별시 강남구 광평로 51길 8, 1층 111호",07:00~19:30
126,수송미장점,"전라북도 군산시 수송동로 53, 1층",08:00~22:30
127,수원매교점,경기도 수원시 팔달구 효원로109번길 24 1층,08:00~21:00
128,숙대입구역점,서울특별시 용산구 갈월동 92 1층,07:00~21:00
129,순천오천점,"전라남도 순천시 순천만정원로 86, 105호",07:00~22:00
130,시흥은계점,"경기도 시흥시 은계번영길 11,111호",08:30~22:30
131,신논현역점,서울 서초구 서초동 1303-1,07:00~23:00
132,신대방삼거리역점,"서울시 동작구 상도로 58, 101호",08:00~21:30
133,신림역점,서울특별시 관악구 남부순환로 1605 1층,07:30~23:00
134,신중동점,경기도 부천시 원미구 중동 1149,06:30~20:00
135,신촌로터리점,서울특별시 마포구 노고산동 57-14,07:00~21:00
136,신촌역점,서울 서대문구 신촌로 113 1층,07:00~21:10
137,신촌점,서울시 서대문구 창천동 13-29,07:00~23:00
138,안산고잔점,"경기도 안산시 단원구 고잔로 54, 112호",07:30~20:30
139,압구정CGV점,"서울특별시 강남구 논현로 848, 압구정CGV 지상 1층(신사동)",07:30~18:00
140,압구정SLP점,"서울특별시 강남구 논현로163길 23,1층",07:00~22:30
141,야탑역점,경기도 성남시 분당구 야탑동 353-1,07:00~22:00
142,약수역점,서울시 중구 신당동 369-9,07:00~21:00
143,양재역점,"서울 강남구 강남대로 240 (도곡동 953-1, 양재SK허브)",06:30~21:00
144,양재이안점,"서울특별시 서초구 강남대로34길 7, 1층",07:00~19:00
145,양재점,서울 서초구  강남대로 221  (양재동 23),07:00~21:00
146,양평역점,"서울시 영등포구 양평동3가 16, 우림이비즈센터 102호",07:30~18:00
147,언주역점,서울시 강남구 역삼동 650,06:30~23:00
148,여의도역점,서울특별시 영등포구 여의도동 26-1,06:00~20:00
149,역삼그랑블점,"서울특별시 강남구 논현로63길 16, 105호",07:30~21:00
150,역삼대로점,서울 강남구 논현로 427-1 (역삼동 738-27),07:00~21:00
151,역삼삼보점,서울특별시 강남구 역삼동 647-13,06:30~21:00
152,역삼시티점,서울 강남구 논현로85길 52 B102호,07:00~21:00
153,역삼GFC점,"서울 강남구 테헤란로26길 10 (역삼동 736-55) 성보빌딩, 1층",06:30~23:00
154,역삼GS점,서울 강남구 논현로 94길 13,07:00~21:00
155,영등포점,서울 영등포구 영중로 21 1층 109호,06:30~22:00
156,온양농협이순신점,"충청남도 아산시 남부로 246, 온양농협 1층",09:00~21:30
157,왕십리점,서울특별시 성동구 왕십리로 315,08:00~20:50
158,용산센트럴파크점,"서울특별시 용산구 서빙고로 17, 상가동 1층 10호",07:00~21:30
159,용인수지구청점,경기도 용인시 수지구 수지로296번길 51-7,08:00~22:30
160,원주단구점,강원도 원주시 단구동 1514-1,08:00~20:30
161,원주무실점,"강원도 원주시 능라동길 47, 1층",07:40~22:00
162,위례중앙점,"서울특별시 송파구 위례광장로 120, 상가동 132호",08:00~20:30
163,유성구청점,"대전광역시 유성구 어은로 56, 지상1층",07:30~22:00
164,을지로3가역점,"서울시 중구 을지로 108, 1층 102호(을지로3가)",07:00~21:00
165,을지병원사거리점,서울 강남구 논현동6-21,07:00~20:00
166,의정부역점,"경기도 의정부시 시민로 123, 1층 (의정부동)",07:00~19:00
167,이천안흥점,경기도 이천시 안흥동 320-1 이천센트레빌레이크뷰 110호,07:00~22:00
168,이화여대점,"서울특별시 구로구 새말로 97,b1 139호",07:00~20:50
169,인천동춘점,인천광역시 연수구 동춘동 936-1,07:00~23:00
